word1,word2,sim
лошадь,жеребец,1
лошадь,конь,1
лошадь,кобыла,1
лошадь,пони,1
лошадь,лошаденка,1
лошадь,скакун,1
лошадь,кляча,1
лошадь,седло,0
лошадь,конюх,0
лошадь,конюшня,0
лошадь,грива,0
лошадь,галоп,0
лошадь,табун,0
лошадь,телега,0
сержант,лейтенант,1
сержант,полицейский,1
сержант,звание,0
сержант,полиция,0
крейсер,корабль,1
крейсер,фрегат,1
крейсер,флагман,1
крейсер,море,0
крейсер,водоизмещение,0
крейсер,экипаж,0
винтовка,пулемет,1
винтовка,травматика,1
винтовка,оружие,1
винтовка,приклад,0
винтовка,стрелок,0
винтовка,выстрел,0
ноутбук,планшет,1
ноутбук,компьютер,1
ноутбук,интернет,0
ноутбук,подставка,0
программирование,информатика,1
программирование,кодирование,1
программирование,язык,0
программирование,алгоритм,0
программист,разработчик,1
программист,хакер,1
программист,программа,0
программист,программирование,0
озу,память,1
озу,чип,1
озу,гигабайт,0
озу,программа,0
информация,данные,1
информация,контент,1
информация,передача,0
информация,носитель,0
робот,киборг,1
робот,наноробот,1
робот,интеллект,0
робот,помощь,0
омар,анчоус,1
омар,закуска,1
омар,мидия,1
омар,ресторан,0
омар,клешня,0
омар,море,0
король,власть,0
король,королевство,0
король,королева,1
король,царь,1
король,корона,0
король,престол,0
король,монарх,1
король,шут,1
маг,чернокнижник,1
маг,шарлатан,1
маг,заклинание,0
маг,амулет,0
век,эпоха,1
век,столетие,1
век,история,0
век,просвещение,0
поездка,виза,0
поездка,гостиница,0
поездка,командировка,1
поездка,прогулка,1
поездка,маршрут,0
поездка,поезд,0
поездка,поход,1
поездка,круиз,1
новость,журналист,0
новость,агенство,0
новость,сообщение,1
новость,публикация,1
футбол,лига,0
футбол,поле,0
футбол,болельщик,0
футбол,уефа,0
футбол,хоккей,1
футбол,волейбол,1
футбол,бейсбол,1
футбол,гандбол,1
девчонка,подруга,1
девчонка,платье,0
девчонка,знакомство,0
девчонка,сестра,1
девчонка,одноклассник,1
девчонка,азиатка,1
девчонка,возраст,0
девчонка,прическа,0
кгб,спецслужба,1
кгб,цру,1
кгб,агент,0
кгб,разведка,0
игра,команда,0
игра,матч,1
игра,покер,1
игра,соперник,0
игра,развлечение,1
игра,правило,0
доктор,диагноз,0
доктор,здоровье,0
доктор,врач,1
доктор,профессор,1
доктор,степень,0
доктор,клиника,0
доктор,хирург,1
доктор,пациент,1
наводнение,землетрясение,1
наводнение,вода,0
наводнение,жертва,0
наводнение,катастрофа,1
край,область,1
край,центр,1
край,население,0
край,земля,0
самолет,посадка,0
самолет,авиация,0
самолет,летчик,0
самолет,бомба,0
самолет,кабина,0
самолет,фюзеляж,0
самолет,эскадрилья,0
самолет,аэроплан,1
самолет,вертолет,1
самолет,истребитель,1
самолет,планер,1
самолет,гидросамолет,1
самолет,авиалайнер,1
самолет,мессершмитт,1
деньги,сумма,1
деньги,банк,0
деньги,рубль,1
деньги,счет,0
деньги,цена,0
деньги,зарплата,1
деньги,долг,0
деньги,кредит,0
деньги,чаевые,1
деньги,монета,1
процветание,преуспевание,1
процветание,благополучие,1
процветание,народ,0
процветание,коррупция,0
крупа,пшено,1
крупа,зерно,1
крупа,хлопья,1
крупа,кастрюля,0
крупа,мешок,0
крупа,килограмм,0
скрип,свист,1
скрип,храп,1
скрип,звук,1
скрип,дверь,0
скрип,сосна,0
скрип,качели,0
язык,диалект,1
язык,изучение,0
линия,прямая,1
линия,полоса,1
линия,маршрут,1
линия,фронт,0
линия,километр,0
линия,движение,0
вихрь,водоворот,1
вихрь,торнадо,1
вихрь,пыль,0
вихрь,атмосфера,0
барометр,манометр,1
барометр,компас,1
барометр,прибор,1
барометр,давление,0
барометр,погода,0
барометр,измерение,0
иероглиф,знак,1
иероглиф,символ,1
иероглиф,буква,1
иероглиф,китаец,0
иероглиф,письменность,0
иероглиф,египет,0
сыщик,детектив,1
сыщик,оперативник,1
сыщик,следователь,1
сыщик,преступление,0
сыщик,улика,0
сыщик,расследование,0
копия,дубликат,1
копия,оригинал,1
копия,репродукция,1
копия,файл,0
копия,паспорт,0
копия,ксерокс,0
синица,воробей,1
синица,птица,1
синица,синичка,1
синица,петух,1
синица,рука,0
синица,стая,0
синица,ветка,0
синица,кормушка,0
люстра,лампа,1
люстра,торшер,1
люстра,потолок,0
люстра,свет,0
событие,происшествие,1
событие,исчезновение,1
событие,инцидент,1
событие,участник,0
событие,место,0
событие,дата,0
пчела,мед,0
пчела,улей,0
пчела,пасека,0
пчела,пчеловодство,0
пчела,оса,1
пчела,трутень,1
пчела,насекомое,1
пчела,пчелка,1
шерсть,животное,0
шерсть,аллергия,0
шерсть,мех,1
шерсть,хлопок,1
море,берег,0
море,прибой,0
море,морепродукт,0
море,океан,1
море,водоем,1
море,река,1
паук,тарантул,1
паук,насекомое,1
паук,паутина,0
паук,арахнофобия,0
птица,гнездо,0
птица,клюв,0
птица,яйцо,0
птица,крыло,0
птица,ворона,1
птица,животное,1
птица,птаха,1
птица,птенец,1
полка,стол,1
полка,шкаф,1
полка,книга,0
полка,стена,0
молоток,киянка,1
молоток,кувалда,1
молоток,молот,1
молоток,гвоздь,0
молоток,стук,0
молоток,палец,0
эволюция,деградация,1
эволюция,развитие,1
эволюция,инволюция,1
эволюция,теория,0
эволюция,человечество,0
эволюция,ген,0
космос,вселенная,1
космос,мироздание,1
космос,орбита,0
космос,космонавт,0
космодром,аэродром,1
космодром,звездолет,0
проем,отверстие,1
проем,дыра,1
проем,прорезь,1
проем,дверь,0
проем,ширина,0
проем,стена,0
сияние,свечение,1
сияние,мерцание,1
сияние,всполох,1
сияние,солнце,0
сияние,атмосфера,0
сияние,бриллиант,0
авария,дтп,1
авария,катастрофа,1
авария,сбой,1
авария,происшествие,1
авария,жертва,0
